v1,full_name,reaction_EC,gene_symbol,v3,Vitisnet_Network1,Vitisnet_Network2,,
VIT_10s0116g01670,arogenate dehydratase,4.2.1.91,AD3,Vitvi10g00088,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,,,
VIT_12s0059g00750,arogenate dehydratase,4.2.1.91,AD4,Vitvi12g00380,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,,,
VIT_18s0001g15410,Alcohol dehydrogenase,,ADH1,Vitvi18g01223,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_04s0044g01110,Alcohol dehydrogenase,,ADH2,Vitvi04g01668,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_18s0001g15450,Alcohol dehydrogenase,,ADH3,Vitvi18g01226,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_12s0142g00360,putative MADS-box Agamous 1,,AG1,Vitvi12g00019,vv60042MADS,,,
VIT_10s0003g02070,putative MADS-box Agamous 2,,AG2,Vitvi10g00663,vv30009Flower_development,vv60042MADS,,
VIT_18s0041g01880,,,AGL11,Vitvi18g02133,vv60042MADS,,,
VIT_18s0041g02140,putative MADS-box Agamous-like 12,,AGL12,Vitvi18g02145,vv60042MADS,,,
VIT_13s0158g00100,putative MADS-box Agamous-like 15a,,AGL15a,Vitvi13g01861,vv60042MADS,,,
VIT_08s0007g08790,putative MADS-box Agamous-like 15b,,AGL15b,Vitvi08g01935,vv60042MADS,,,
VIT_18s0001g07900,putative MADS-box Agamous-like 17a,,AGL17a,Vitvi18g00553,vv60042MADS,,,
VIT_03s0097g00160,putative MADS-box Agamous-like 17b,,AGL17b,Vitvi03g00819,vv60042MADS,,,
VIT_00s0211g00180,putative MADS-box Agamous-like 17c,,AGL17c,Vitvi07g01520,vv60042MADS,,,
VIT_00s0211g00140,putative MADS-box Agamous-like 17d,,AGL17d,Vitvi07g01516,,,,
VIT_15s0048g01270,putative MADS-box Agamous-like 6a,,AGL6a,Vitvi15g00776,vv60042MADS,,,
VIT_16s0022g02330,putative MADS-box Agamous-like 6b,,AGL6b,Vitvi16g00894,vv60042MADS,,,
VIT_17s0000g07650,Aldehyde dehydrogenase,,ALDH10A,Vitvi17g01525,vv10260Glycine_serine_and_threonine_metabolism,vv50101Channels_and_pores,,
VIT_14s0066g02410,Aldehyde dehydrogenase,,ALDH10B1,Vitvi14g01874,vv10260Glycine_serine_and_threonine_metabolism,vv50101Channels_and_pores,,
VIT_05s0077g01060,Aldehyde dehydrogenase,,ALDH22A1,Vitvi05g00117,vv10260Glycine_serine_and_threonine_metabolism,vv50101Channels_and_pores,,
VIT_17s0000g08070,Aldehyde dehydrogenase,,ALDH2B4,Vitvi17g00786,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_01s0026g00220,Aldehyde dehydrogenase,,ALDH2B8,Vitvi01g00787,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_14s0066g01550,Aldehyde dehydrogenase,,ALDH2B9,Vitvi14g01796,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_04s0023g02810,Aldehyde dehydrogenase,,ALDH3F1,Vitvi04g01402,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_18s0001g02440,Aldehyde dehydrogenase,,ALDH3H1,Vitvi18g00255,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_07s0031g02630,Aldehyde dehydrogenase,,ALDH3H5,Vitvi07g01934,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_06s0004g02060,Aldehyde dehydrogenase,,ALDH3J1,Vitvi06g00210,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_19s0085g00880,Aldehyde dehydrogenase,,ALDH5F1,Vitvi19g01741,vv10251Glutamate_metabolism,vv10650Butanoate_metabolism,,
VIT_19s0085g00870,Aldehyde dehydrogenase,,ALDH5F2,Vitvi19g01740,vv10251Glutamate_metabolism,vv10650Butanoate_metabolism,,
VIT_03s0132g00200,Aldehyde dehydrogenase,,ALDH6B3,Vitvi03g00895,vv10280Valine_leucine_and_isoleucine_degradation,vv10640Propanoate_metabolism,,
VIT_03s0132g00210,Aldehyde dehydrogenase,,ALDH6B5,Vitvi03g00892,,,,
VIT_00s0218g00070,Aldehyde dehydrogenase,,ALDH6B7,Vitvi07g01403,vv10280Valine_leucine_and_isoleucine_degradation,vv10640Propanoate_metabolism,,
VIT_11s0016g00900,Aldehyde dehydrogenase,,ALDH7B5,Vitvi11g00066,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_09s0002g01010,Aldehyde dehydrogenase,,ALDH7D1,Vitvi09g00078,vv10010Glycolysis,vv10071Fatty_acid_metabolism,,
VIT_19s0085g00860,Aldehyde dehydrogenase,,ALDHF5F3,Vitvi19g01739,vv10251Glutamate_metabolism,vv10650Butanoate_metabolism,,
VIT_08s0007g01060,Aldehyde dehydrogenase,,ALDHI 8B3,Vitvi08g01261,vv10330Arginine_and_proline_metabolism,,,
VIT_04s0008g05810,Aldehyde dehydrogenase,,ALDHI1A3,Vitvi04g00515,vv10220Urea_cycle_and_metabolism_of_amino_groups,vv50101Channels_and_pores,,
VIT_17s0000g05800,Aldehyde dehydrogenase,,ALDHI2A1,Vitvi17g00555,vv10251Glutamate_metabolism,vv10330Arginine_and_proline_metabolism,,
VIT_13s0019g02360,Aldehyde dehydrogenase,,ALDHI8B1,Vitvi13g00355,vv10220Urea_cycle_and_metabolism_of_amino_groups,,,
VIT_11s0037g00070,Aldehyde dehydrogenase,,ALDHIB1,Vitvi11g00686,vv10220Urea_cycle_and_metabolism_of_amino_groups,vv50101Channels_and_pores,,
VIT_16s0050g00930,AnthoMATE,,AM1,Vitvi16g01915,vv50125Porters_cat_66_to_94,,,
VIT_16s0050g00910,AnthoMATE,,AM2,Vitvi16g01913,vv50125Porters_cat_66_to_94,,,
VIT_16s0050g00900,AnthoMATE,,AM3,Vitvi16g01911,vv50125Porters_cat_66_to_94,,,
VIT_00s0623g00010,,,AMP2,Vitvi18g03332,,,,
VIT_08s0007g03560,Anthocyanin membrane protein,,ANM1,Vitvi08g01478,vv50122Porters_cat_7_to_17,,,
VIT_00s0361g00040,,,ANR1,Vitvi10g02185,vv10941Flavonoid_biosynthesis,,,
VIT_06s0009g01320,Ascorbate Oxidase,,AO1,Vitvi06g01033,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems,,
VIT_07s0031g01040,Ascorbate Oxidase,,AO2,Vitvi07g02676,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems,,
VIT_07s0031g01010,Ascorbate Oxidase,,AO3,Vitvi07g02674,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems,,
VIT_07s0031g01070,Ascorbate Oxidase,,AO4,Vitvi07g01784,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems,,
VIT_07s0031g01130,Ascorbate Oxidase,,AO5,Vitvi07g01791,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems,,
VIT_08s0007g08730,ATP-binding cassette (ABC),,AOH1,Vitvi08g01929,vv52010ABC_transporters,,,
VIT_01s0010g03510,,,AOMT1,Vitvi01g02265,vv10940Phenylpropanoid_biosynthesis,,,
VIT_01s0010g03490,,,AOMT2,Vitvi01g02263,vv10940Phenylpropanoid_biosynthesis,,,
VIT_01s0010g03470,,,AOMT3,Vitvi01g02261,vv10940Phenylpropanoid_biosynthesis,,,
VIT_01s0011g00100,putative MADS-box Apetala 1,,AP1,Vitvi01g00008,vv30009Flower_development,vv60042MADS,,
VIT_11s0037g00870,AP2-like ethylene-responsive transcription factor,,AP2-01,Vitvi11g00798,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_14s0108g00050,Ethylene-responsive transcription factor WRINKLED 1,,AP2-02,Vitvi14g01902,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_06s0004g01800,Ethylene-responsive transcription factor PLETHORA 2,,AP2-03,Vitvi06g00187,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_04s0023g00950,AP2/EREBP transcription factor BABY BOOM,,AP2-05,Vitvi04g01207,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_09s0018g01650,Wrinkled1 (AP2/ERBP),,AP2-06,Vitvi09g01269,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_01s0026g01690,Ethylene-responsive transcription factor WRINKLED 1,,AP2-08,Vitvi01g00934,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_11s0052g00840,AP2-like AIL5 (AINTEGUMENTA-like 5),,AP2-09,Vitvi11g01231,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_09s0002g01370,AP2 AINTEGUMENTA,,AP2-10,Vitvi09g00108,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_13s0019g03550,APETALA2 (AP2) floral homeotic protein,,AP2-11,Vitvi13g00529,vv30008Ethylene_signaling,vv30009Flower_development,,
VIT_07s0031g00220,APETALA2 (AP2) floral homeotic protein,,AP2-13,Vitvi07g01706,vv30008Ethylene_signaling,vv30009Flower_development,,
VIT_00s1291g00010,AP2-like AIL6 (AINTEGUMENTA-like 6),,AP2-16,Vitvi07g01419,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_18s0001g08610,AP2-like AINTEGUMENTA-like,,AP2-19,Vitvi18g00618,vv30008Ethylene_signaling,vv60003AP2_EREBP,,
VIT_18s0001g13460,putative MADS-box Apetala 3a,,AP3a,Vitvi18g01044,vv30009Flower_development,vv60042MADS,,
VIT_04s0023g02820,putative MADS-box Apetala 3b,,AP3b,Vitvi04g01404,vv30008Ethylene_signaling,vv30009Flower_development,,
VIT_01s0011g03110,,,AQUILO,Vitvi01g00249,vv60029G2-like,,,
VIT_01s0244g00150,Auxin response factors,,ARF1,Vitvi01g01759,vv30003Auxin_signaling,vv60004ARF,,
VIT_11s0016g00640,Auxin response factors,,ARF10,Vitvi11g00043,vv30003Auxin_signaling,vv60004ARF,,
VIT_11s0065g00310,Auxin response factors,,ARF11,Vitvi11g00920,vv30003Auxin_signaling,vv60004ARF,,
VIT_12s0028g01170,Auxin response factors,,ARF12,Vitvi12g00102,vv30003Auxin_signaling,vv60004ARF,,
VIT_12s0035g01800,Auxin response factors,,ARF13,Vitvi12g02122,vv30003Auxin_signaling,vv60004ARF,,
VIT_13s0019g04380,Auxin response factors,,ARF14,Vitvi13g02058,vv30003Auxin_signaling,vv60004ARF,,
VIT_15s0046g00290,Auxin response factors,,ARF15,Vitvi15g00946,vv30003Auxin_signaling,vv60004ARF,,
VIT_17s0000g00320,Auxin response factors,,ARF16,Vitvi17g00036,vv30003Auxin_signaling,vv60004ARF,,
VIT_18s0001g04180,Auxin response factors,,ARF17,Vitvi18g00337,vv30003Auxin_signaling,vv60004ARF,,
VIT_18s0001g13930,Auxin response factors,,ARF18,Vitvi18g01086,vv30003Auxin_signaling,vv60004ARF,,
VIT_18s0089g00910,Auxin response factors,,ARF19,Vitvi18g02390,vv30003Auxin_signaling,vv60004ARF,,
VIT_02s0025g01740,Auxin response factors,,ARF2,Vitvi02g00163,vv30003Auxin_signaling,vv60004ARF,,
VIT_04s0079g00160,Auxin response factors,,ARF3,Vitvi04g00824,,,,
VIT_06s0004g02750,Auxin response factors,,ARF4,Vitvi06g00272,vv30003Auxin_signaling,vv60004ARF,,
VIT_06s0004g03130,Auxin response factors,,ARF5,Vitvi06g00311,vv30003Auxin_signaling,vv60004ARF,,
VIT_07s0104g01230,Auxin response factors,,ARF6,Vitvi07g00238,vv30003Auxin_signaling,vv60004ARF,,
VIT_08s0040g01810,Auxin response factors,,ARF7,Vitvi08g01033,vv30003Auxin_signaling,vv60004ARF,,
VIT_10s0003g00420,Auxin response factors,,ARF8,Vitvi10g00510,vv30003Auxin_signaling,vv60004ARF,,
VIT_10s0003g04100,Auxin response factors,,ARF9,Vitvi10g00854,vv30003Auxin_signaling,vv60004ARF,,
VIT_17s0000g05860,ATP-binding cassette (ABC),,ATH1,Vitvi17g00563,vv52010ABC_transporters,,,
VIT_17s0000g05850,ATP-binding cassette (ABC),,ATH2,Vitvi17g00561,vv52010ABC_transporters,,,
VIT_18s0041g02240,ATP-binding cassette (ABC),,ATH3,Vitvi18g02153,vv52010ABC_transporters,,,
VIT_08s0007g03180,ATP-binding cassette (ABC),,ATH4,Vitvi08g01448,vv52010ABC_transporters,,,
VIT_06s0004g08350,ATP-binding cassette (ABC),,ATM1,Vitvi06g00831,vv52010ABC_transporters,,,
VIT_01s0010g00540,,,bHLH001,Vitvi01g01287,vv30005Brassinosteroids_signaling,vv60011BHLH,,
VIT_01s0010g00740,,,bHLH002,Vitvi01g01316,vv60011BHLH,,,
VIT_01s0011g02940,,,bHLH003,Vitvi01g00232,vv60011BHLH,,,
VIT_01s0026g01140,,,bHLH004,Vitvi01g00876,vv60011BHLH,,,
VIT_01s0127g00860,,,bHLH005,Vitvi01g00746,vv60011BHLH,,,
VIT_01s0244g00130,,,bHLH006,Vitvi01g01757,vv60011BHLH,,,
VIT_02s0012g01450,,,bHLH008,Vitvi02g00709,vv60011BHLH,,,
VIT_02s0025g02610,,,bHLH009,Vitvi02g00231,vv60011BHLH,,,
VIT_02s0025g03450,,,bHLH010,Vitvi02g00317,vv44110Cell_cycle,vv60011BHLH,,
VIT_03s0038g01790,,,bHLH011,Vitvi03g00098,vv60011BHLH,,,
VIT_03s0038g02540,,,bHLH012,Vitvi03g00157,vv60011BHLH,,,
VIT_03s0038g04760,,,bHLH013,Vitvi03g00315,vv60011BHLH,,,
VIT_03s0063g00170,,,bHLH014,Vitvi03g00520,vv60011BHLH,,,
VIT_03s0088g01240,,,bHLH015,Vitvi03g00791,vv60011BHLH,,,
VIT_03s0091g00730,,,bHLH016,Vitvi03g00635,vv60011BHLH,,,
VIT_04s0023g01930,,,bHLH017,Vitvi04g01312,vv60011BHLH,,,
VIT_04s0023g03430,,,bHLH018,Vitvi04g01463,vv60011BHLH,,,
VIT_05s0020g02700,,,bHLH019,Vitvi05g00427,vv60011BHLH,,,
VIT_05s0020g04620,,,bHLH020,Vitvi05g00624,vv60011BHLH,,,
VIT_05s0020g04780,,,bHLH021,Vitvi05g00640,vv60011BHLH,,,
VIT_05s0029g00050,,,bHLH022,Vitvi05g01063,vv60011BHLH,,,
VIT_05s0029g00390,,,bHLH023,Vitvi05g01103,vv60011BHLH,,,
VIT_05s0049g00460,,,bHLH024,Vitvi05g00711,vv11002Auxin_biosynthesis,vv60011BHLH,,
VIT_05s0124g00240,,,bHLH025,Vitvi05g01393,vv60011BHLH,,,
VIT_06s0004g01740,,,bHLH026,Vitvi06g00181,vv60011BHLH,,,VvimTERF10
VIT_06s0061g00720,,,bHLH027,Vitvi06g01345,vv60011BHLH,,,
VIT_07s0005g02510,,,bHLH028,Vitvi07g02251,vv34710Circadian_rhythm,vv60011BHLH,,
VIT_07s0031g00450,,,bHLH029,Vitvi07g01729,vv60011BHLH,,,
VIT_07s0104g00250,,,bHLH031,Vitvi07g00151,vv60011BHLH,,,
VIT_07s0141g00220,,,bHLH032,Vitvi07g00046,vv60011BHLH,,,
VIT_07s0141g01060,,,bHLH033,Vitvi07g00002,vv60011BHLH,,,
VIT_07s0151g00450,,,bHLH034,Vitvi07g01545,vv60011BHLH,,,
VIT_07s0191g00240,,,bHLH035,Vitvi07g01475,vv60011BHLH,,,
VIT_07s0205g00160,,,bHLH036,Vitvi07g01532,vv60011BHLH,,,
VIT_07s0205g00180,,,bHLH037,Vitvi07g01530,vv60011BHLH,,,
VIT_07s0205g00190,,,bHLH038,Vitvi07g01529,vv60011BHLH,,,
VIT_08s0007g05300,,,bHLH039,Vitvi08g01649,vv30011Jasmonate_signaling,vv60011BHLH,,
VIT_08s0007g07810,,,bHLH040,Vitvi08g01852,vv60011BHLH,,,
VIT_08s0007g07870,,,bHLH041,Vitvi08g01856,vv60011BHLH,,,
VIT_08s0040g01240,,,bHLH042,Vitvi08g00979,vv60011BHLH,,,
VIT_08s0058g00110,,,bHLH043,Vitvi08g00719,vv60011BHLH,,,
VIT_11s0016g00380,,,bHLH044,Vitvi11g00021,vv60011BHLH,,,
VIT_11s0016g02070,,,bHLH045,Vitvi11g00165,vv60011BHLH,,,
VIT_11s0037g00040,,,bHLH046,Vitvi11g00680,vv60011BHLH,,,
VIT_11s0052g00100,,,bHLH047,Vitvi11g01153,vv60011BHLH,,,
VIT_12s0028g01110,,,bHLH048,Vitvi12g00096,vv34710Circadian_rhythm,vv60011BHLH,,
VIT_12s0028g02350,,,bHLH049,Vitvi12g00200,vv60011BHLH,,,
VIT_12s0028g03550,,,bHLH050,Vitvi12g02307,vv60011BHLH,,,
VIT_12s0034g02150,,,bHLH051,Vitvi12g01896,vv30011Jasmonate_signaling,vv60011BHLH,,
VIT_12s0059g02650,,,bHLH052,Vitvi12g00556,vv11002Auxin_biosynthesis,vv60011BHLH,,
VIT_13s0047g00450,,,bHLH053,Vitvi13g01164,vv30011Jasmonate_signaling,vv60011BHLH,,
VIT_13s0064g01290,,,bHLH054,Vitvi13g01764,vv60011BHLH,,,
VIT_13s0067g01350,,,bHLH055,Vitvi13g00075,vv60011BHLH,,,
VIT_13s0073g00400,,,bHLH056,Vitvi13g01037,vv30011Jasmonate_signaling,vv60011BHLH,,
VIT_14s0006g01470,,,bHLH057,Vitvi14g00958,vv60011BHLH,,,
VIT_14s0030g02230,,,bHLH058,Vitvi14g00477,vv60011BHLH,,,
VIT_14s0060g00260,,,bHLH059,Vitvi14g00020,vv34710Circadian_rhythm,vv60011BHLH,,
VIT_14s0068g01200,,,bHLH060,Vitvi14g01473,vv60011BHLH,,,
VIT_14s0068g01580,,,bHLH061,Vitvi14g01508,vv60011BHLH,,,
VIT_14s0081g00720,,,bHLH062,Vitvi14g00562,vv60011BHLH,,,
VIT_14s0083g00930,,,bHLH063,Vitvi14g01326,vv30005Brassinosteroids_signaling,vv60011BHLH,,
VIT_14s0128g00110,,,bHLH064,Vitvi14g00277,vv60011BHLH,,,
VIT_15s0021g02690,,,bHLH065,Vitvi15g00642,vv60011BHLH,,,
VIT_15s0046g00320,,,bHLH066,Vitvi15g00948,vv30011Jasmonate_signaling,vv34626Plant-pathogen_interaction,,
VIT_15s0048g02510,,,bHLH067,Vitvi15g00876,vv60011BHLH,,,
VIT_15s0048g02820,,,bHLH068,Vitvi15g00906,vv60011BHLH,,,
VIT_15s0107g00380,,,bHLH069,Vitvi15g00254,vv60011BHLH,,,
VIT_16s0022g02240,,,bHLH070,Vitvi16g00882,vv60011BHLH,,,
VIT_16s0022g02250,,,bHLH071,Vitvi16g00883,vv60011BHLH,,,
VIT_16s0022g02270,,,bHLH072,Vitvi16g00885,vv60011BHLH,,,
VIT_16s0050g02500,,,bHLH073,Vitvi16g01212,vv60011BHLH,,,
VIT_17s0000g00330,,,bHLH074,Vitvi17g00037,vv60011BHLH,,,
VIT_17s0000g00430,,,bHLH075,Vitvi17g00046,vv60011BHLH,,,
VIT_17s0000g03550,,,bHLH076,Vitvi17g00307,vv60011BHLH,,,
VIT_17s0000g04790,,,bHLH077,Vitvi17g00442,vv30005Brassinosteroids_signaling,vv60011BHLH,,
VIT_17s0000g05370,,,bHLH078,Vitvi17g00507,vv60011BHLH,,,
VIT_17s0000g06930,,,bHLH079,Vitvi17g00678,vv60011BHLH,,,
VIT_18s0001g06650,,,bHLH080,Vitvi18g00463,vv60011BHLH,,,
VIT_18s0001g07410,,,bHLH081,Vitvi18g00513,vv60011BHLH,,,
VIT_18s0001g08040,,,bHLH082,Vitvi18g00567,vv60011BHLH,,,
VIT_18s0001g08600,,,bHLH083,Vitvi18g00617,vv60011BHLH,,,
VIT_18s0001g09210,,,bHLH084,Vitvi18g00673,vv60011BHLH,,,
VIT_18s0001g10270,,,bHLH085,Vitvi18g00763,vv60011BHLH,,,
VIT_18s0001g10300,,,bHLH086,Vitvi18g00766,vv60011BHLH,,,
VIT_18s0041g00690,,,bHLH087,Vitvi18g02008,vv60011BHLH,,,
VIT_19s0014g05100,,,bHLH088,Vitvi19g00406,vv11002Auxin_biosynthesis,vv60011BHLH,,
VIT_00s0479g00020,,,bHLH089,Vitvi10g02253,vv60011BHLH,,,
VIT_00s0532g00050,,,bHLH090,Vitvi10g02218,vv11002Auxin_biosynthesis,vv60011BHLH,,
VIT_00s0824g00020,,,bHLH091,Vitvi00g00944,vv60011BHLH,,,
VIT_00s0927g00010,,,bHLH092,Vitvi00g01001,vv60011BHLH,,,
VIT_00s1312g00010,,,bHLH093,Vitvi07g02613,vv60011BHLH,,,
VIT_00s1314g00010,,,bHLH094,Vitvi07g03072,vv60011BHLH,,,
VIT_01s0011g03230,,,bZIP01,Vitvi01g00260,vv30011Jasmonate_signaling,vv60012BZIP,,
VIT_01s0010g00930,,,bZIP02,Vitvi01g01342,vv60012BZIP,,,
VIT_02s0025g01020,,,bZIP03,Vitvi02g00089,vv60012BZIP,,,
VIT_02s0012g02250,,,bZIP04,Vitvi02g00796,vv60012BZIP,,,
VIT_03s0038g00860,,,bZIP05,Vitvi03g00059,vv60012BZIP,,,
VIT_03s0038g02420,,,bZIP06,Vitvi03g00146,vv60012BZIP,,,
VIT_03s0038g04450,,,bZIP07,Vitvi03g00292,vv60012BZIP,,,
VIT_03s0063g00310,,,bZIP08,Vitvi03g01574,vv30001ABA_signaling,vv60012BZIP,,
VIT_04s0008g02750,,,bZIP09,Vitvi04g00240,vv60012BZIP,,,
VIT_04s0069g01150,,,bZIP11,Vitvi04g01992,vv30001ABA_signaling,vv60012BZIP,,
VIT_04s0023g01360,,,bZIP12,Vitvi04g02098,vv50110Protein_coat,vv60012BZIP,,
VIT_04s0023g02430,,,bZIP13,Vitvi04g01363,vv60012BZIP,,,
VIT_05s0077g01140,,,bZIP14,Vitvi05g00108,vv60012BZIP,,,
VIT_05s0102g01120,,,bZIP16,Vitvi05g01537,vv60012BZIP,,,
VIT_06s0004g08070,,,bZIP17,Vitvi06g00800,vv60012BZIP,,,
VIT_06s0009g01790,,,bZIP18,Vitvi06g01073,vv30001ABA_signaling,vv60012BZIP,,
VIT_06s0080g00340,,,bZIP19,Vitvi06g01478,vv30001ABA_signaling,vv60012BZIP,,
VIT_06s0080g00360,,,bZIP20,Vitvi06g01480,vv60012BZIP,,,
VIT_07s0141g00170,,,bZIP21,Vitvi07g00049,vv60012BZIP,,,
VIT_07s0005g01450,,,bZIP22,Vitvi07g00413,vv60012BZIP,,,
VIT_07s0031g01320,,,bZIP23,Vitvi07g01807,vv30011Jasmonate_signaling,vv60012BZIP,,
VIT_08s0040g00870,,,bZIP24,Vitvi08g00950,vv60012BZIP,,,
VIT_08s0007g03420,,,bZIP25,Vitvi08g01470,vv30001ABA_signaling,vv60012BZIP,,
VIT_08s0007g03640,,,bZIP26,Vitvi08g02272,vv60012BZIP,,,
VIT_08s0007g05170,,,bZIP27,Vitvi08g01638,vv30011Jasmonate_signaling,vv60012BZIP,,
